no.,name,formula,molecular-weight,critical-temperature,critical-pressure,critical-molar-volume,acentric-factor
-,-,-,MW,Tc,Pc,Vc,AcFa
-,-,-,g/mol,K,bar,cm3/mol,1
1,Bromine,Br2,159.81,588.0,103.4,127,0.108
2,Chlorine,Cl2,70.91,417.0,79.8,122.9,0.090
3,Hydrogen,H2,2.02,33.2,13.0,64.9,-0.22
4,Iodine,I2,253.81,819.0,116.5,155,0.229
5,Neon,Ne,20.18,44.4,27.6,42,-0.03
6,Nitrogen,N2,28.01,126.2,34.0,89.5,0.039
7,Oxygen,O2,32.00,154.6,50.4,73.5,0.025
8,Acetylene,C2H2,26.04,308.3,61.4,112.2,0.190
9,Benzene,C6H6,78.11,562.0,48.9,256,0.212
10,n-Butane,C4H10,58.12,425.0,38.0,255,0.199
11,Cumene,C9H12,120.19,631.0,32.1,431,0.326
12,Cyclohexane,C6H12,84.16,554.0,40.7,308,0.212
13,Cyclopentane,C5H10,70.13,511.7,45.1,259,0.196
14,n-Decane,C10H22,142.28,617.8,21.1,624,0.489
15,Ethane,C2H6,30.07,305.3,49.0,147,0.099
16,Ethylbenzene,C8H10,106.17,617.0,36.4,374,0.302
17,Ethylene,C2H4,28.05,282.5,50.6,131.1,0.089
18,n-Heptane,C7H16,100.20,540.0,27.4,428,0.349
19,1-Heptene,C7H14,98.19,537.3,29.2,409,0.358
20,n-Hexane,C6H14,86.18,507.6,30.2,368,0.299
21,1-Hexene,C6H14,84.16,504.0,32.1,355.1,0.285
22,Isobutane,C4H10,58.12,407.7,36.5,259,0.183
23,Isopentane,C5H12,72.15,461.0,33.8,306,0.227
24,Methane,CH4,16.04,190.6,46.1,98.6,0.011
25,Naphthalene,C10H8,128.17,748.0,41.0,407,0.302
26,n-Octane,C8H18,114.23,568.9,24.9,492,0.398
27,1-Octene,C8H16,112.21,567.0,26.8,468,0.386
28,n-Pentane,C5H12,72.15,469.8,33.6,311,0.251
29,Propane,C3H8,44.10,369.9,42.5,200,0.153
30,Propylene,C3H6,42.08,365.2,46.0,184.6,0.144
31,Styrene,C8H8,104.15,647.0,39.9,360,0.257
32,Toluene,C7H8,92.14,593.0,41.0,316,0.263
33,m-Xylene,C8H10,106.17,618.0,35.4,375,0.325
34,o-Xylene,C8H10,106.17,631.0,37.0,370,0.310
35,p-Xylene,C8H10,106.17,617.0,35.0,378,0.320
36,Ammonia,NH3,17.03,405.4,113.0,72,0.250
37,Carbon dioxide,CO2,44.10,304.2,73.8,91.9,0.239
38,Carbon disulfide,CS2,76.14,552.0,79.0,173,0.109
39,Carbon monoxide,CO,28.01,134.5,35.0,90.1,0.066
40,Hydrogen chloride,HCl,36.46,324.7,82.6,81,0.133
41,Hydrogen cyanide,HCN,27.03,456.7,53.9,139,0.388
42,Hydrogen sulfide,H2S,34.08,373.3,89.7,98,0.081
43,Nitric oxide,NO,30.01,180.0,64.8,58,0.588
44,Nitrous oxide,N2O,44.01,309.6,72.4,95.5,0.165
45,Sulfur dioxide,SO2,64.06,430.3,78.8,122,0.256
46,Sulfur trioxide,SO3,80.06,491.0,82.0,127,0.481
47,Water,H2O,18.02,647.0,220.6,55.9,0.344
48,Acetaldehyde,C2H4O,44.05,466.0,55.7,154.1,0.303
49,Acetic acid,C2H4O2,60.05,593.0,57.8,171.2,0.447
50,Acetone,C3H6O,58.08,508.0,48.0,216,0.304
51,Acetonitrile,C2H3N,41.05,545.0,48.7,173,0.327
52,Aniline,C6H7N,93.13,698.8,53.1,287.4,0.384
53,n-Butanol,C4H10O,74.12,562.0,45.0,274,0.593
54,Carbon tetrachloride,CCl4,153.82,556.4,44.9,276.2,0.193
55,Chlorobenzene,C6H5Cl,112.56,632.4,45.2,308.6,0.249
56,Chloroform,CHCl3,119.38,537.0,53.3,243.3,0.218
57,Diethyl ether,C4H10O,74.12,467.0,36.0,274,0.281
58,Dimethyl ether,C2H6O,46.07,401.0,54.0,164,0.200
59,Ethanol,C2H6O,46.07,514.0,63.0,168,0.644
60,Ethyl acetate,C4H8O2,88.11,530.0,38.8,286.4,0.362
61,Ethylene oxide,C2H4O,44.05,468.9,72.3,140.3,0.202
62,Formaldehyde,CH2O,30.03,408.0,65.9,115,0.253
63,Furfural,C5H4O2,96.08,670.0,55.1,270,0.383
64,n-Heptanol,C7H16O,116.20,632.6,30.6,435,0.560
65,Isobutanol,C4H10O,74.12,548.0,45.0,274,0.592
66,Isopropanol,C3H8O,60.10,509.0,49.0,222,0.665
67,Methanol,CH4O,32.04,513.0,81.0,117,0.556
68,Methyl acetate,C3H6O2,74.08,510.0,47.5,228,0.326
69,Methyl ethyl ketone,C4H8O,72.11,535.0,42.0,267,0.320
70,Phenol,C6H6O,94.11,694.3,59.3,229,0.438
71,n-Propanol,C3H8O,60.10,536.9,52.0,218,0.623
