No.,Name,A,B,C,D,Tmin,Tmin,Test Temperature,Ps,Eq
-,-,A,B,C,D,Tmin,Tmin,T,Ps,VaPr
-,-,1,1,1,1,K,K,K,bar,bar
1,Water,-7.870154,1.906774,-2.31033,-2.06339,274,Tc,393.15,1.9859,1
2,Ammonia,-7.303825,1.649953,-2.021615,-1.960295,196,Tc,275.15,4.6237,1
3,Hydrogen chloride,-6.454142,0.934797,-0.636477,-1.704349,134,Tc,243.15,10.8202,1
4,Chlorine,-6.442452,1.492841,-1.225096,-2.015398,174,Tc,273.15,3.6877,1
5,Nitrogen,-6.12368,1.260610,-0.760446,-1.794726,65,Tc,103.15,9.6198,1
6,Oxygen,-6.051465,1.234823,-0.628118,-1.61418,64,Tc,123.15,12.2153,1
7,Hydrogen,-4.836839,0.943915,0.763880,-0.467794,15,Tc,18.05,0.4651,1
8,Sulfur dioxide,-7.278016,1.726871,-2.371926,-2.70875,203,Tc,303.15,4.6239,1
9,Carbon monoxide,-6.194175,1.319639,-0.943212,-2.001545,68,Tc,101.15,5.9215,1
10,Carbon dioxide,-7.026565,1.527245,-2.246311,-2.63003,218,Tc,253.15,19.6972,1
11,Methane,-6.024057,1.268690,-0.570278,-1.37536,93,Tc,173.15,26.0390,1
12,Ethane,-6.461277,1.353559,-1.04336,-2.044654,123,Tc,243.15,10.6417,1
13,Propane,-6.715816,1.387038,-1.311343,-2.563166,160,Tc,260.15,3.1220,1
14,n-Butane,-7.084375,1.789499,-1.994745,-2.325711,180,Tc,280.15,1.3356,1
15,Isobutane,-6.907184,1.578704,-1.803286,-2.427186,180,Tc,300.15,3.7173,1
16,n-Pentane,-7.363978,1.943238,-2.471007,-2.349144,213,Tc,343.15,2.8355,1
17,n-Hexane,-7.611393,2.007192,-2.744096,-2.825408,233,Tc,303.15,0.2498,1
18,Cyclohexane,-7.009954,1.575242,-1.968888,-3.260142,283,Tc,373.15,1.7462,1
19,n-Heptane,-7.754461,1.847289,-2.802496,-3.625021,263,Tc,373.15,1.0619,1
20,n-Octane,-8.010138,1.984728,-3.259138,-4.00358,283,Tc,343.15,0.1583,1
21,Ethylene,-6.412447,1.452364,-1.239075,-1.996814,110,Tc,260.15,30.1310,1
22,Propylene,-6.721402,1.517651,-1.508872,-2.369565,143,Tc,273.15,5.8421,1
23,1-Butene,-7.078279,1.876157,-2.01994,-2.651169,183,Tc,293.15,2.5462,1
24,Methanol,-8.72698,1.450050,-2.77177,-0.723874,233,Tc,343.15,1.2545,1
25,Ethanol,-8.338015,0.087185,-3.305779,-0.259857,253,Tc,353.15,1.0845,1
26,n-Propanol,-8.606755,2.173634,-8.046856,3.691766,290,Tc,364.18,0.7990,1
27,n-Butanol,-8.330857,2.054134,-8.175663,0.190068,275,Tc,418.85,2.4959,1
28,Ethylene glycol,-7.807002,0.915488,-4.927491,-1.926135,333,Tc,453.75,0.6057,1
29,Isopropanol,-8.439864,1.149220,-6.938392,0.615959,276,Tc,373.70,2.0101,1
30,Acetic acid,-9.345421,3.784980,-3.602383,-1.553062,290,Tc,364.64,0.4227,1
31,Methyl acetate,-8.574704,4.224264,-5.368114,-0.827557,227,Tc,332.15,1.0881,1
32,Ethyl acetate,-7.897191,2.167535,-3.523305,-3.107122,242,Tc,330.15,0.4977,1
33,Vinyl acetate,-7.554439,1.364168,-2.656813,-2.993477,252,Tc,352.25,1.2471,1
34,Methyl-tert-butyl ether,-7.565301,2.577840,-3.917256,-0.671678,217,Tc,374.55,3.7435,1
35,Acetone,-7.670734,1.965917,-2.445437,-2.899873,213,Tc,353.15,2.1544,1
36,Benzene,-7.114987,1.841409,-2.254156,-3.14745,283,Tc,373.15,1.8014,1
37,Toluene,-7.49889,2.084280,-2.556275,-2.860135,273,Tc,333.15,0.1853,1
38,p-Xylene,-7.671695,1.812883,-2.38796,-3.45669,286,Tc,373.15,0.3206,1
39,R23,-7.285947,1.636279,-2.135618,-2.481506,158,Tc,263.15,18.8963,1
40,R32,-7.4706,1.756960,-2.015692,-2.61979,158,Tc,263.15,5.8274,1
41,R12,-6.919773,1.622716,-1.734359,-2.589279,168,Tc,263.15,2.1879,1
42,R22,-7.092406,1.619996,-2.013516,-2.729725,158,Tc,263.15,3.5500,1
43,R134a,-7.649281,1.798190,-2.660067,-3.320921,173,Tc,263.15,2.0063,1
44,R125,-7.537003,1.837339,-2.67533,-2.78762,173,Tc,283.15,9.0868,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
