No.,Name,A,B,C,D,E,universal-gas-constant,Tmin,Tmax,T,enthalpy-of-vaporization,Eq
-,-,A,B,C,D,E,R,Tmin,Tmax,T,dHv,dHv
-,-,1,1,1,1,1,1,K,K,K,J/g,J/g
1,Water,6.853064,7.43794,-2.937398,-3.282184,8.396833,8.314,273,Tc,323.15,2380.25,1
2,Ammonia,5.74477,7.282878,-2.428749,-2.261923,2.909393,8.314,196,Tc,300.15,1157.7,1
3,Hydrogen chloride,5.385594,3.577607,1.70222,-4.769082,5.095527,8.314,134,Tc,203.15,423.41,1
4,Chlorine,5.11396,5.494794,-1.63973,-2.193617,4.356455,8.314,173,Tc,273.15,267.42,1
5,Nitrogen,5.063172,5.518154,-2.645913,-1.981109,5.333368,8.314,65,Tc,93.15,174.93,1
6,Oxygen,4.969617,5.305319,-2.42609,-2.151263,3.466285,8.314,58,Tc,123.15,167.73,1
7,Hydrogen,4.115256,2.511597,-1.539154,-2.578672,2.165454,8.314,15,Tc,20.05,461.39,1
8,Sulfur dioxide,6.43138,6.40586,-2.656015,-0.900937,6.502211,8.314,203,Tc,323.15,328.16,1
9,Carbon monoxide,5.36516,4.61563,-1.50262,-2.360346,7.214583,8.314,68,Tc,101.15,181.89,1
10,Carbon dioxide,6.285898,5.640077,-1.240625,-2.040365,26.542058,8.314,218,Tc,253.15,282.44,1
11,Methane,4.990555,5.035151,-2.283393,-2.460933,4.378278,8.314,93,Tc,183.15,214.96,1
12,Ethane,5.24057,7.195872,-4.63536,-0.641593,2.27141,8.314,93,Tc,243.15,388.62,1
13,Propane,5.532218,7.865983,-5.298339,0.075567,2.154822,8.314,90,Tc,280.15,364.59,1
14,n-Butane,5.89459,7.87769,-5.041876,-0.151283,3.790784,8.314,140,Tc,280.15,379,1
15,Isobutane,5.985358,6.87017,-3.95794,-0.356806,2.95743,8.314,120,Tc,280.15,347.69,1
16,n-Pentane,5.75259,9.973145,-6.8966,0.534831,4.463225,8.314,153,Tc,273.15,385,1
17,n-Hexane,5.823448,11.201235,-8.07144,1.34838,3.456936,8.314,183,Tc,343.15,333.92,1
18,Cyclohexane,3.43791,14.06151,-8.730995,0.67173,0.025579,8.314,283,Tc,294.15,394.34,1
19,n-Heptane,3.31664,21.99282,-18.80816,5.534334,2.93102,8.314,183,Tc,303.15,362.02,1
20,n-Octane,4.46423,19.78326,-16.8393,5.36049,3.9566,8.314,223,Tc,303.15,361.66,1
21,Ethylene,5.143747,6.934186,-4.268831,-0.58489,3.213931,8.314,110,Tc,250.15,303.81,1
22,Propylene,5.296574,8.539701,-6.058919,0.507597,2.793165,8.314,93,Tc,263.15,391.95,1
23,1-Butene,5.495498,9.245589,-6.920092,1.448008,2.307289,8.314,93,Tc,303.15,354.54,1
24,Methanol,5.465579,15.61685,-7.676416,-4.9266,6.334842,8.314,183,Tc,373.15,1020.27,1
25,Ethanol,14.687649,-15.271194,26.062303,-20.049661,15.816495,8.314,253,Tc,293.15,925.91,1
26,n-Propanol,5.890074,16.292544,-5.777913,-2.767181,-8.575518,8.314,293,Tc,343.65,740.74,1
27,n-Butanol,3.925226,18.801993,-5.348588,-2.937749,-0.181003,8.314,224,Tc,343.85,654.47,1
28,Ethylene glycol,7.079169,8.721527,1.013498,-5.214016,4.441808,8.314,333,Tc,333.15,1027.05,1
29,Isopropanol,13.846539,-16.693668,32.098404,-19.900215,-9.894509,8.314,253,Tc,304.25,757.07,1
30,Acetic acid,6.68664,15.014483,-22.086618,3.077698,17.354972,8.314,290,Tc,369.35,395.64,1
31,Methyl acetate,6.398833,13.125464,-12.779956,5.864096,-9.168706,8.314,227,Tc,297.25,439.04,1
32,Ethyl acetate,8.568302,3.691585,-0.614594,-0.635779,0.817636,8.314,190,Tc,330.15,381.82,1
33,Vinyl acetate,7.959075,5.923838,-2.473449,-1.445393,4.013308,8.314,273,Tc,336.35,377.62,1
34,Methyl-tert-butyl ether,7.677125,3.101996,0.388899,-1.67283,0.763138,8.314,217,Tc,339.55,311.02,1
35,Acetone,5.731751,9.17423,-4.934225,0.048998,3.735669,8.314,183,Tc,373.15,448.73,1
36,Benzene,5.00747,10.69081,-7.316719,1.140714,6.78671,8.314,283,Tc,333.15,408.31,1
37,Toluene,4.60779,13.96216,-10.579148,2.112462,4.28486,8.314,183,Tc,323.15,398.25,1
38,p-Xylene,8.707394,1.081836,2.571094,-3.435021,9.405508,8.314,287,Tc,373.15,361.13,1
39,R23,5.346016,10.06509,-6.445266,0.855815,0.100753,8.314,158,Tc,253.15,170.98,1
40,R32,6.30286,6.63483,-2.530184,-1.546727,4.892836,8.314,138,Tc,253.15,344.12,1
41,R12,5.672474,8.015016,-5.135777,-0.186518,4.616427,8.314,123,Tc,253.15,162.07,1
42,R22,5.941889,7.847445,-4.73681,0.118054,4.060834,8.314,123,Tc,253.15,220,1
43,R134a,7.25816,4.942105,-0.155284,-2.76178,12.45586,8.314,173,Tc,273.15,198.76,1
44,R125,5.54365,11.76144,-8.102561,0.93226,5.177319,8.314,173,Tc,273.15,133.16,1
