No.,Name,A,B,C,D,E,F,universal-gas-constant,Tmin,Tmax,T,liquid-heat-capacity,Eq
-,-,A,B,C,D,E,F,R,Tmin,Tmax,T,Cp_LIQ,Cp_LIQ
-,-,1,1,1,1,1,1,1,K,K,K,J/g.K,J/g.K
1,Water,0.25598,12.54595,-31.40896,97.7665,-145.4236,87.0185,8.314,273,586,343.15,4.1875,1
2,Ammonia,0.51838,8.111677,-3.922537,16.08084,-18.078723,-4.26508,8.314,205,355,265.15,4.573,1
3,Hydrogen chloride,0.428824,7.229828,-9.908417,35.977597,-73.966366,63.001991,8.314,134,308,273.15,2.0561,1
4,Chlorine,0.348448,9.581768,-35.823396,198.970547,-456.440234,365.477124,8.314,173,383,273.15,0.9791,1
5,Nitrogen,0.468003,5.859125,-3.294471,10.94939,-10.931129,3.52105,8.314,68,113,103.15,2.4109,1
6,Oxygen,0.491044,4.971189,3.165818,-15.73023,35.129358,-24.4504,8.314,58,138,103.15,1.7546,1
7,Hydrogen,0.412752,1.939203,-0.676502,2.161263,-9.684044,14.410197,8.314,16,28,18.75,11.2238,1
8,Sulfur dioxide,0.49203,9.88245,-5.73671,12.99129,-7.898405,4.251653,8.314,203,413,303.15,1.4033,1
9,Carbon monoxide,0.434226,6.85227,-7.82624,25.69357,-39.2193,31.50626,8.314,68,125,101.15,2.3261,1
10,Carbon dioxide,0.500361,8.830377,-3.868837,10.324592,0.675891,1.845183,8.314,218,283,253.15,2.1654,1
11,Methane,0.407112,7.061365,-11.142546,37.881423,-60.945893,38.02482,8.314,93,168,123.15,3.5803,1
12,Ethane,0.428053,10.459037,-18.182884,51.7115,-75.88447,44.50054,8.314,93,283,213.15,2.5942,1
13,Propane,0.55868,12.802352,-5.738203,-9.551125,26.702477,-15.775134,8.314,81,330,280.15,2.5415,1
14,n-Butane,0.494221,19.195325,-11.646233,-13.06358,37.552637,-18.50897,8.314,140,400,280.15,2.3449,1
15,Isobutane,0.49733,18.773678,-14.55216,-0.254646,19.35904,-15.881925,8.314,120,380,280.15,2.3207,1
16,n-Pentane,0.493157,25.40326,-18.57115,-8.455922,27.38311,-5.18679,8.314,153,443,273.15,2.21,1
17,n-Hexane,0.503827,30.695832,-16.437834,-28.145485,50.31271,-18.04465,8.314,183,463,333.15,2.4093,1
18,Cyclohexane,0.452602,29.0405,-17.26065,-69.50897,254.38142,-307.04712,8.314,283,523,298.65,1.8145,1
19,n-Heptane,0.274131,39.690828,-38.327579,48.53563,-116.903726,115.685562,8.314,183,523,393.15,2.6629,1
20,n-Octane,0.615215,42.7536,-27.390185,8.22851,-58.65269,79.11617,8.314,223,533,293.15,2.2091,1
21,Ethylene,0.475969,7.565091,-3.361502,-1.602014,24.541197,-22.072075,8.314,110,260,250.15,3.3689,1
22,Propylene,0.468895,12.677647,-12.484029,18.370277,-19.006378,15.198619,8.314,93,343,263.15,2.3713,1
23,1-Butene,0.474628,17.4441,-16.144424,18.56336,-20.820925,16.654776,8.314,93,383,243.15,2.0809,1
24,Methanol,0.612632,13.19554,-5.20887,-45.76212,91.19027,-44.45618,8.314,183,463,323.15,2.7082,1
25,Ethanol,0.503568,22.442022,-36.783235,160.373246,-466.432673,396.027992,8.314,253,473,343.15,3.0966,1
26,n-Propanol,0.313992,42.598117,-78.40126,30.612206,40.102166,-16.588491,8.314,147,400,293.45,2.3626,1
27,n-Butanol,1.203976,50.595314,-91.331488,37.897784,28.225069,-2.351873,8.314,185,391,303.95,2.4513,1
28,Ethylene glycol,-0.106462,32.547745,-27.00019,22.166665,-43.223418,21.074136,8.314,261,493,284.65,2.3342,1
29,Isopropanol,-0.028011,37.272721,-60.212901,145.141653,-415.612074,383.532117,8.314,185,480,293.85,2.5706,1
30,Acetic acid,0.129079,23.227878,-19.035099,11.172422,-32.20965,32.222624,8.314,290,413,332.23,2.1868,1
31,Methyl acetate,-3.270153,54.948876,-110.92023,73.069065,86.15279,-91.36799,8.314,177,373,329.15,2.0263,1
32,Ethyl acetate,1.55866,24.189499,-26.451003,27.644553,-25.493382,29.857034,8.314,190,350,316.35,1.9958,1
33,Vinyl acetate,0.532294,28.920121,-26.329666,18.066371,-41.778918,48.998543,8.314,260,389,266.35,1.8743,1
34,Methyl-tert-butyl ether,0.681223,28.641641,-26.276132,26.982673,-34.177133,22.912098,8.314,165,328,293.85,2.1107,1
35,Acetone,0.440183,17.6646,-8.866356,-11.726743,34.19244,-17.424056,8.314,183,503,333.15,2.2404,1
36,Benzene,0.497842,22.393654,-15.40794,3.39177,-25.94845,39.510594,8.314,283,523,343.15,1.8693,1
37,Toluene,0.472576,28.7765,-29.76024,48.79309,-113.29255,94.20474,8.314,183,563,313.15,1.7496,1
38,p-Xylene,-0.298962,48.971447,-144.53912,451.27984,-811.38669,551.296903,8.314,287,567,335.95,1.8151,1
39,R23,0.583673,8.82546,3.660254,-28.715384,71.336899,-57.631705,8.314,158,288,263.15,1.6319,1
40,R32,0.482781,9.73656,-7.74677,18.994675,-22.694329,16.23208,8.314,138,343,293.15,1.8863,1
41,R12,0.469917,14.3901,-17.00691,53.67719,-104.511075,78.21579,8.314,123,373,293.15,0.9757,1
42,R22,0.509972,11.15402,-3.730131,-1.359015,11.325878,-5.456086,8.314,123,353,293.15,1.2395,1
43,R134a,0.509614,17.0661,-15.83477,39.39076,-69.727496,53.4559,8.314,173,368,293.15,1.4053,1
44,R125,0.619806,15.4735,2.39756,-32.9038,33.24436,22.72992,8.314,173,333,293.15,1.3682,1
